Match,Time,Mean Evaluation,Max evaluation,Least evaluation,Moves
1,1.5207,50.09090909,62,28,88
2,0.5815,43.58333333,56,37,24
3,0.8119,36.66666667,51,20,48
4,1.1134,46.46153846,62,27,52
5,0.9846,41.68421053,62,62,40
6,1.1599,50.20689655,78,35,58
7,1.1183,46.11538462,63,33,52
8,1.8124,48.75,60,34,112
9,0.9603,47.5,68,6,48
10,1.0672,52.04166667,74,31,48
11,1.0717,35.65517241,45,20,57
12,0.5896,33,47,21,25
13,0.668,37.4,46,27,29
14,1.3597,46.63333333,65,28,59
15,1.8324,44.8,62,27,109
16,1.0939,41.68965517,57,4,57
17,2.1874,45.6031746,57,31,125
18,0.9693,50.45833333,74,23,47
19,1.6403,46.36,60,26,99
20,1.3281,50.57142857,70,6,55
