Match,Time,Mean Evaluation,Max evaluation,Least evaluation,Moves,Notes
1,181.2416,5299.571429,14351,1256,56,
2,210.1149,5549.827586,11488,2440,58,
3,278.4057,5120.142857,15899,2447,112,
4,249.5278,6136.363636,12300,2450,66,
5,302.1178,4375.671429,15136,288,140,
6,272.886,4383.190476,14882,230,126,
7,297.6572,4141.689189,17244,221,148,
8,1717.8847,5581.668421,13867,3011,760,Deadlock aborted
9,279.3466,5362.773585,17264,907,106,
10,172.1232,3673.708333,14340,269,96,
11,249.1568,6457.342857,16552,827,69,
12,1649.9109,6085.600583,15367,2217,685,Deadlock aborted
